dataset_doi,class_id,class_label,split,sample_id,mode,archive_member,local_relative_path,bytes,sha256
10.5281/zenodo.18061204,class10,Cemented fracture,test,Fracture.107,PPL,carbonate_1223/PPL-1223/test/class10/Fracture.107.jpg,data/raw/PPL/test/class10_cemented_fracture/Fracture.107.jpg,707713,aa2623971a797b1b34cc095775541b78d2379d93d8daa1aa96815ea3bfbdff94
10.5281/zenodo.18061204,class10,Cemented fracture,test,Fracture.123,PPL,carbonate_1223/PPL-1223/test/class10/Fracture.123.jpg,data/raw/PPL/test/class10_cemented_fracture/Fracture.123.jpg,864576,56eb6ed176970a442dd6e9cfd6d963dcaf6ab14f3cd9a2e1a47a0f3a680f1eef
10.5281/zenodo.18061204,class10,Cemented fracture,test,Fracture.129,PPL,carbonate_1223/PPL-1223/test/class10/Fracture.129.jpg,data/raw/PPL/test/class10_cemented_fracture/Fracture.129.jpg,916373,2cbe57bff92e04be89de0c6fb086f79c2fe5045ae36fc2d43c08cce42f0880f1
10.5281/zenodo.18061204,class10,Cemented fracture,test,Fracture.13,PPL,carbonate_1223/PPL-1223/test/class10/Fracture.13.jpg,data/raw/PPL/test/class10_cemented_fracture/Fracture.13.jpg,718576,842c42a91791cde76a670c581376fbb18404953fe9ded4e303589b71d4091b3d
10.5281/zenodo.18061204,class10,Cemented fracture,test,Fracture.6,PPL,carbonate_1223/PPL-1223/test/class10/Fracture.6.jpg,data/raw/PPL/test/class10_cemented_fracture/Fracture.6.jpg,946594,7dca3c43343f78a860d1b5fbf640aac8a7e0e895487ba6adf05e31baf308aebe
10.5281/zenodo.18061204,class13,Micritic limestone,test,Micritic_limestone.142,PPL,carbonate_1223/PPL-1223/test/class13/Micritic_limestone.142.jpg,data/raw/PPL/test/class13_micritic_limestone/Micritic_limestone.142.jpg,690490,2f111819029fe25b3a39405b450db265ae5bdc6aa2561de6856d5acb133b1ae2
10.5281/zenodo.18061204,class13,Micritic limestone,test,Micritic_limestone.249,PPL,carbonate_1223/PPL-1223/test/class13/Micritic_limestone.249.jpg,data/raw/PPL/test/class13_micritic_limestone/Micritic_limestone.249.jpg,773548,369e141f4a4d2968c3103c655c3205486b876809e79301d73b5156acb1633bcc
10.5281/zenodo.18061204,class13,Micritic limestone,test,Micritic_limestone.267,PPL,carbonate_1223/PPL-1223/test/class13/Micritic_limestone.267.jpg,data/raw/PPL/test/class13_micritic_limestone/Micritic_limestone.267.jpg,699268,86eb71722aa45a73987f727b747c4934e792b15eed4806d58d9627611a2b4dbd
10.5281/zenodo.18061204,class13,Micritic limestone,test,Micritic_limestone.334,PPL,carbonate_1223/PPL-1223/test/class13/Micritic_limestone.334.jpg,data/raw/PPL/test/class13_micritic_limestone/Micritic_limestone.334.jpg,799752,765370eb3733b1e47756349875fd1549a39d420300f58a82a9eeab40ae5032eb
10.5281/zenodo.18061204,class13,Micritic limestone,test,Micritic_limestone.350,PPL,carbonate_1223/PPL-1223/test/class13/Micritic_limestone.350.jpg,data/raw/PPL/test/class13_micritic_limestone/Micritic_limestone.350.jpg,811856,f1d01707530ad9b936633e382da1ed7f2f37a417c330396b29aabffc7ebd7f2a
10.5281/zenodo.18061204,class17,Oolite,test,12,PPL,carbonate_1223/PPL-1223/test/class17/12.jpg,data/raw/PPL/test/class17_oolite/12.jpg,456823,159d076d0cb8ce5afd8ad6f47085f936442eb0a91abd8612f8114d4186d3889c
10.5281/zenodo.18061204,class17,Oolite,test,13,PPL,carbonate_1223/PPL-1223/test/class17/13.jpg,data/raw/PPL/test/class17_oolite/13.jpg,493016,18d2dd5c3b7541fa0d1dd242f68743fc36ab8e63ecfb2e93a3a251c1d0854e49
10.5281/zenodo.18061204,class17,Oolite,test,16,PPL,carbonate_1223/PPL-1223/test/class17/16.jpg,data/raw/PPL/test/class17_oolite/16.jpg,472584,93f4708f127726804e6ef22917c900a9b07232feaf138b412233e57c27f027c1
