embedding_row,sample_id,mode,split,class_name,path
0,Fracture.1002,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.1002.jpg
1,Fracture.1047,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.1047.jpg
2,Fracture.1072,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.1072.jpg
3,Fracture.1116,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.1116.jpg
4,Fracture.118,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.118.jpg
5,Fracture.370,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.370.jpg
6,Fracture.383,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.383.jpg
7,Fracture.399,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.399.jpg
8,Fracture.402,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.402.jpg
9,Fracture.442,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.442.jpg
10,Fracture.465,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.465.jpg
11,Fracture.531,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.531.jpg
12,Fracture.595,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.595.jpg
13,Fracture.597,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.597.jpg
14,Fracture.601,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.601.jpg
15,Fracture.608,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.608.jpg
16,Fracture.622,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.622.jpg
17,Fracture.638,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.638.jpg
18,Fracture.642,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.642.jpg
19,Fracture.643,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.643.jpg
20,Fracture.650,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.650.jpg
21,Fracture.653,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.653.jpg
22,Fracture.741,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.741.jpg
23,Fracture.765,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.765.jpg
24,Fracture.793,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.793.jpg
25,Fracture.796,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.796.jpg
26,Fracture.805,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.805.jpg
27,Fracture.850,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.850.jpg
28,Fracture.876,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.876.jpg
29,Fracture.9,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.9.jpg
30,Micritic_limestone.1022,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.1022.jpg
31,Micritic_limestone.1189,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.1189.jpg
32,Micritic_limestone.1267,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.1267.jpg
33,Micritic_limestone.1278,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.1278.jpg
34,Micritic_limestone.1403,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.1403.jpg
35,Micritic_limestone.1410,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.1410.jpg
36,Micritic_limestone.153,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.153.jpg
37,Micritic_limestone.1548,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.1548.jpg
38,Micritic_limestone.1737,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.1737.jpg
39,Micritic_limestone.174,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.174.jpg
40,Micritic_limestone.1823,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.1823.jpg
41,Micritic_limestone.20,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.20.jpg
42,Micritic_limestone.2118,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.2118.jpg
43,Micritic_limestone.2209,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.2209.jpg
44,Micritic_limestone.2460,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.2460.jpg
45,Micritic_limestone.2485,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.2485.jpg
46,Micritic_limestone.2486,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.2486.jpg
47,Micritic_limestone.2564,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.2564.jpg
48,Micritic_limestone.2586,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.2586.jpg
49,Micritic_limestone.2648,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.2648.jpg
50,Micritic_limestone.2669,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.2669.jpg
51,Micritic_limestone.2697,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.2697.jpg
52,Micritic_limestone.2836,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.2836.jpg
53,Micritic_limestone.2884,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.2884.jpg
54,Micritic_limestone.2959,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.2959.jpg
55,Micritic_limestone.34,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.34.jpg
56,Micritic_limestone.379,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.379.jpg
57,Micritic_limestone.403,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.403.jpg
58,Micritic_limestone.758,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.758.jpg
59,Micritic_limestone.759,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.759.jpg
60,Oolitic.100,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.100.jpg
61,Oolitic.102,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.102.jpg
62,Oolitic.103,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.103.jpg
63,Oolitic.11,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.11.jpg
64,Oolitic.115,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.115.jpg
65,Oolitic.116,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.116.jpg
66,Oolitic.129,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.129.jpg
67,Oolitic.137,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.137.jpg
68,Oolitic.139,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.139.jpg
69,Oolitic.142,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.142.jpg
70,Oolitic.147,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.147.jpg
71,Oolitic.15,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.15.jpg
72,Oolitic.17,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.17.jpg
73,Oolitic.18,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.18.jpg
74,Oolitic.20,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.20.jpg
75,Oolitic.25,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.25.jpg
76,Oolitic.27,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.27.jpg
77,Oolitic.3,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.3.jpg
78,Oolitic.31,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.31.jpg
79,Oolitic.5,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.5.jpg
80,Oolitic.61,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.61.jpg
81,Oolitic.63,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.63.jpg
82,Oolitic.65,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.65.jpg
83,Oolitic.66,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.66.jpg
84,Oolitic.76,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.76.jpg
85,Oolitic.88,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.88.jpg
86,Oolitic.9,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.9.jpg
87,Oolitic.93,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.93.jpg
88,Oolitic.97,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.97.jpg
89,Oolitic.99,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.99.jpg
90,Vug.1770,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.1770.jpg
91,Vug.1798,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.1798.jpg
92,Vug.1946,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.1946.jpg
93,Vug.1971,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.1971.jpg
94,Vug.1975,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.1975.jpg
95,Vug.1978,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.1978.jpg
96,Vug.2399,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.2399.jpg
97,Vug.250,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.250.jpg
98,Vug.2501,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.2501.jpg
99,Vug.2629,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.2629.jpg
100,Vug.284,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.284.jpg
101,Vug.2987,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.2987.jpg
102,Vug.3065,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.3065.jpg
103,Vug.3314,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.3314.jpg
104,Vug.3325,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.3325.jpg
105,Vug.3489,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.3489.jpg
106,Vug.3621,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.3621.jpg
107,Vug.3717,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.3717.jpg
108,Vug.3807,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.3807.jpg
109,Vug.499,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.499.jpg
110,Vug.5169,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.5169.jpg
111,Vug.5453,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.5453.jpg
112,Vug.561,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.561.jpg
113,Vug.5776,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.5776.jpg
114,Vug.5806,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.5806.jpg
115,Vug.5885,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.5885.jpg
116,Vug.6085,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.6085.jpg
117,Vug.6105,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.6105.jpg
118,Vug.6352,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.6352.jpg
119,Vug.858,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.858.jpg
120,Fracture.1024,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.1024.jpg
121,Fracture.1178,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.1178.jpg
122,Fracture.13,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.13.jpg
123,Fracture.147,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.147.jpg
124,Fracture.164,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.164.jpg
125,Fracture.168,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.168.jpg
126,Fracture.169,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.169.jpg
127,Fracture.179,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.179.jpg
128,Fracture.199,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.199.jpg
129,Fracture.266,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.266.jpg
130,Fracture.276,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.276.jpg
131,Fracture.313,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.313.jpg
132,Fracture.315,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.315.jpg
133,Fracture.371,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.371.jpg
134,Fracture.438,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.438.jpg
135,Fracture.439,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.439.jpg
136,Fracture.441,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.441.jpg
137,Fracture.462,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.462.JPG
138,Fracture.464,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.464.JPG
139,Fracture.517,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.517.jpg
140,Fracture.581,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.581.jpg
141,Fracture.596,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.596.jpg
142,Fracture.648,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.648.jpg
143,Fracture.687,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.687.jpg
144,Fracture.732,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.732.jpg
145,Fracture.753,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.753.jpg
146,Fracture.788,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.788.jpg
147,Fracture.896,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.896.jpg
148,Fracture.956,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.956.jpg
149,Fracture.981,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.981.jpg
150,Micritic_limestone.1262,XPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/XPL/train/class13_micritic_limestone/Micritic_limestone.1262.jpg
151,Micritic_limestone.197,XPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/XPL/train/class13_micritic_limestone/Micritic_limestone.197.jpg
152,Micritic_limestone.2061,XPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/XPL/train/class13_micritic_limestone/Micritic_limestone.2061.jpg
153,Micritic_limestone.2080,XPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/XPL/train/class13_micritic_limestone/Micritic_limestone.2080.jpg
154,Micritic_limestone.2120,XPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/XPL/train/class13_micritic_limestone/Micritic_limestone.2120.jpg
155,Micritic_limestone.2134,XPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/XPL/train/class13_micritic_limestone/Micritic_limestone.2134.jpg
156,Micritic_limestone.2170,XPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/XPL/train/class13_micritic_limestone/Micritic_limestone.2170.jpg
157,Micritic_limestone.2177,XPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/XPL/train/class13_micritic_limestone/Micritic_limestone.2177.jpg
