embedding_row,sample_id,mode,split,class_name,path,pca_1,pca_2,kmeans_cluster
0,Fracture.1002,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.1002.jpg,0.20879282,-0.50762695,3
1,Fracture.1047,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.1047.jpg,0.25726727,0.016933594,0
2,Fracture.1072,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.1072.jpg,0.30389923,0.18958014,0
3,Fracture.1116,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.1116.jpg,0.0701921,-0.3196861,3
4,Fracture.118,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.118.jpg,0.14126587,0.0031831823,0
5,Fracture.370,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.370.jpg,0.17041545,0.22394763,0
6,Fracture.383,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.383.jpg,0.2999481,-0.29307252,3
7,Fracture.399,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.399.jpg,0.33765224,-0.058193535,0
8,Fracture.402,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.402.jpg,0.3830831,0.08115075,0
9,Fracture.442,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.442.jpg,0.29342243,-0.045190834,0
10,Fracture.465,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.465.jpg,0.27484435,0.13907105,0
11,Fracture.531,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.531.jpg,0.09238751,0.07972105,2
12,Fracture.595,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.595.jpg,0.013446221,-0.16401023,2
13,Fracture.597,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.597.jpg,0.22872831,-0.17711356,3
