outer_repeat,outer_fold,training_domain,evaluation_mode,relation,selected_c,inner_validation_macro_f1,accuracy,balanced_accuracy,macro_f1,fit_samples,evaluation_samples
1,1,PPL,PPL,within_domain,100.0,0.6259855093830057,0.6,0.5848214285714285,0.5629960317460317,118,30
1,2,PPL,PPL,within_domain,10.0,0.6578931955557343,0.7333333333333333,0.7276785714285714,0.7267156862745098,118,30
1,3,PPL,PPL,within_domain,10.0,0.6915428089618761,0.7,0.7098214285714286,0.6972971881060116,118,30
1,4,PPL,PPL,within_domain,1.0,0.6158834724052116,0.7586206896551724,0.7633928571428571,0.758288770053476,119,29
1,5,PPL,PPL,within_domain,10.0,0.6717686551656467,0.6896551724137931,0.6875,0.6878151260504202,119,29
2,1,PPL,PPL,within_domain,1.0,0.6586617688010876,0.7,0.6919642857142857,0.6858500976148035,118,30
2,2,PPL,PPL,within_domain,10.0,0.6579556218622714,0.5666666666666667,0.5625,0.5635345047109752,118,30
2,3,PPL,PPL,within_domain,1.0,0.6169442570100464,0.6666666666666666,0.6696428571428571,0.6657509157509157,118,30
2,4,PPL,PPL,within_domain,10.0,0.6859976832306555,0.7241379310344828,0.7232142857142858,0.7333616138763198,119,29
2,5,PPL,PPL,within_domain,100.0,0.6732918153970785,0.7241379310344828,0.71875,0.6973039215686274,119,29
3,1,PPL,PPL,within_domain,1.0,0.6962956957740912,0.6333333333333333,0.6205357142857143,0.5875816993464053,118,30
3,2,PPL,PPL,within_domain,1.0,0.6276276177669365,0.7333333333333333,0.7321428571428571,0.7292429792429792,118,30
3,3,PPL,PPL,within_domain,1.0,0.6713799998113723,0.6333333333333333,0.6383928571428572,0.6348039215686274,118,30
3,4,PPL,PPL,within_domain,10.0,0.6511235997068545,0.6896551724137931,0.6830357142857143,0.6690144478844169,119,29
3,5,PPL,PPL,within_domain,1.0,0.6393255909896777,0.6896551724137931,0.6919642857142857,0.6865842490842491,119,29
4,1,PPL,PPL,within_domain,1.0,0.670016339059952,0.6,0.59375,0.6012759170653907,118,30
4,2,PPL,PPL,within_domain,100.0,0.676852001173074,0.7333333333333333,0.7276785714285714,0.730654761904762,118,30
4,3,PPL,PPL,within_domain,10.0,0.6346140905915102,0.7333333333333333,0.7455357142857143,0.7223039215686275,118,30
4,4,PPL,PPL,within_domain,1.0,0.6449865193286245,0.6896551724137931,0.7053571428571429,0.660515873015873,119,29
4,5,PPL,PPL,within_domain,1.0,0.6672701309698214,0.6896551724137931,0.6919642857142856,0.6917124542124542,119,29
5,1,PPL,PPL,within_domain,1.0,0.6403720922305187,0.7666666666666667,0.7678571428571429,0.7653235653235653,118,30
5,2,PPL,PPL,within_domain,1.0,0.6590128333848888,0.5333333333333333,0.53125,0.5239819004524887,118,30
5,3,PPL,PPL,within_domain,1.0,0.6453371201419391,0.6666666666666666,0.6696428571428571,0.6666666666666666,118,30
5,4,PPL,PPL,within_domain,100.0,0.6347505070608785,0.6896551724137931,0.6919642857142858,0.6910485347985348,119,29
5,5,PPL,PPL,within_domain,0.1,0.6043042469513059,0.6896551724137931,0.6919642857142858,0.6876456876456876,119,29
1,1,PPL,XPL,cross_domain,100.0,0.6259855093830057,0.7,0.7008928571428572,0.6954791531997414,118,30
1,2,PPL,XPL,cross_domain,10.0,0.6578931955557343,0.6,0.6071428571428572,0.6071428571428572,118,30
1,3,PPL,XPL,cross_domain,10.0,0.6915428089618761,0.4,0.4017857142857143,0.4145658263305322,118,30
1,4,PPL,XPL,cross_domain,1.0,0.6158834724052116,0.5517241379310345,0.5669642857142857,0.5371212121212121,119,29
1,5,PPL,XPL,cross_domain,10.0,0.6717686551656467,0.5862068965517241,0.5803571428571429,0.5744360902255639,119,29
2,1,PPL,XPL,cross_domain,1.0,0.6586617688010876,0.6333333333333333,0.6294642857142857,0.6275856496444732,118,30
2,2,PPL,XPL,cross_domain,10.0,0.6579556218622714,0.6666666666666666,0.6651785714285714,0.6592442645074224,118,30
2,3,PPL,XPL,cross_domain,1.0,0.6169442570100464,0.6333333333333333,0.6428571428571428,0.6300595238095238,118,30
2,4,PPL,XPL,cross_domain,10.0,0.6859976832306555,0.5517241379310345,0.5669642857142857,0.5416666666666666,119,29
2,5,PPL,XPL,cross_domain,100.0,0.6732918153970785,0.3793103448275862,0.3705357142857143,0.34348370927318295,119,29
3,1,PPL,XPL,cross_domain,1.0,0.6962956957740912,0.5666666666666667,0.5669642857142857,0.5435897435897435,118,30
3,2,PPL,XPL,cross_domain,1.0,0.6276276177669365,0.5,0.49107142857142855,0.49527972027972034,118,30
3,3,PPL,XPL,cross_domain,1.0,0.6713799998113723,0.6333333333333333,0.6383928571428571,0.6379120879120879,118,30
3,4,PPL,XPL,cross_domain,10.0,0.6511235997068545,0.5517241379310345,0.5535714285714286,0.5574175824175824,119,29
3,5,PPL,XPL,cross_domain,1.0,0.6393255909896777,0.8620689655172413,0.8571428571428571,0.8500000000000001,119,29
4,1,PPL,XPL,cross_domain,1.0,0.670016339059952,0.7,0.6964285714285714,0.7080639948287007,118,30
4,2,PPL,XPL,cross_domain,100.0,0.676852001173074,0.6,0.59375,0.5618055555555556,118,30
4,3,PPL,XPL,cross_domain,10.0,0.6346140905915102,0.43333333333333335,0.42857142857142855,0.4328282828282828,118,30
4,4,PPL,XPL,cross_domain,1.0,0.6449865193286245,0.6206896551724138,0.6339285714285714,0.6065826330532214,119,29
4,5,PPL,XPL,cross_domain,1.0,0.6672701309698214,0.5862068965517241,0.5803571428571429,0.5809523809523809,119,29
5,1,PPL,XPL,cross_domain,1.0,0.6403720922305187,0.7,0.7008928571428571,0.6970238095238095,118,30
5,2,PPL,XPL,cross_domain,1.0,0.6590128333848888,0.5333333333333333,0.5267857142857143,0.533234126984127,118,30
5,3,PPL,XPL,cross_domain,1.0,0.6453371201419391,0.6666666666666666,0.6696428571428572,0.6496323529411765,118,30
5,4,PPL,XPL,cross_domain,100.0,0.6347505070608785,0.5517241379310345,0.5580357142857143,0.5474587912087912,119,29
5,5,PPL,XPL,cross_domain,0.1,0.6043042469513059,0.6551724137931034,0.6517857142857143,0.6406746031746031,119,29
1,1,PPL+XPL,PPL,combined,0.1,0.6557399979974413,0.6,0.5892857142857142,0.5777777777777777,236,30
